Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
TRFO3;4,53;10,32;2,58;0,804;0,00%;1,039;4,65;5,52;7,37;5,12;5,12;14,58%;7,80%;1,43;27,63%;25,01%;0,00;76.165.000,00;0,26;16,47%
BMOB3;13,73;10,33;1,03;0,846;3,86%;0,808;1,79;11,02;1,95;6,20;3,95;7,68%;8,18%;3,55;13,04%;9,96%;3.519.120,00;1.142.610.000,00;0,00;76,44%
BESP3;330,00;10,38;2,47;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,77%;0,00;5.183.100.000,00;0,00;1,83%
BBDC4;14,94;10,43;0,99;0,000;8,78%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;9,53%;577.315.000,00;160.086.000.000,00;0,00;-22,80%
TCOC4;27,20;10,43;1,26;1,558;0,00%;0,915;2,65;10,14;3,07;7,89;7,89;15,37%;14,93%;2,53;13,98%;12,06%;0,00;2.812.920.000,00;0,04;16,71%
SANB4;15,08;10,51;1,29;0,000;5,60%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;12,29%;1.526.800,00;87.557.200.000,00;0,00;4,79%
LPSB3;1,75;10,58;1,16;1,464;2,32%;0,658;6,16;6,53;-3,61;4,98;3,39;22,40%;22,15%;1,70;12,17%;10,98%;613.927,00;222.288.000,00;0,00;2,78%
UGPA4;27,10;10,67;2,12;0,235;0,00%;0,788;5,40;5,38;-3,91;7,33;6,04;4,37%;2,29%;1,55;19,02%;19,84%;0,00;14.283.800.000,00;1,06;12,62%
VITT3;5,70;10,70;1,54;1,166;4,84%;1,041;3,13;11,36;4,38;13,27;10,46;10,26%;10,90%;2,45;9,98%;14,42%;2.733.620,00;571.825.000,00;0,33;5,51%
TRFO4;4,70;10,70;2,68;0,835;0,00%;1,078;4,82;5,73;7,65;5,33;5,33;14,58%;7,80%;1,43;27,63%;25,01%;0,00;76.165.000,00;0,26;16,47%
SMLS3;22,40;10,78;4,09;4,212;0,00%;1,017;18,78;10,37;-6,72;10,13;9,06;40,62%;39,07%;1,10;10,69%;37,96%;0,00;679.678.000,00;0,00;-22,20%
BESP4;344,00;10,82;2,57;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;23,77%;0,00;5.183.100.000,00;0,00;1,83%
UNIP3;46,90;10,83;2,00;1,210;5,36%;0,749;2,63;10,84;-4,94;11,83;7,54;11,16%;11,23%;2,52;10,29%;18,49%;434.843,00;2.676.570.000,00;0,94;10,52%
BMIN4;16,50;10,84;0,58;0,000;8,48%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;5,33%;2.672,96;137.896.000,00;0,00;25,20%
UNIP5;47,01;10,86;2,01;1,213;5,88%;0,750;2,64;10,87;-4,95;11,86;7,55;11,16%;11,23%;2,52;10,29%;18,49%;59.517,50;2.676.570.000,00;0,94;10,52%
AESL3;10.081,90;10,96;2,18;1,088;0,00%;0,616;73,77;4,56;-1,17;7,68;6,47;23,86%;9,93%;1,05;14,91%;19,87%;0,00;5.210.850.000,00;1,64;7,74%
AESL4;10.081,90;10,96;2,18;1,088;0,00%;0,616;73,77;4,56;-1,17;7,68;6,47;23,86%;9,93%;1,05;14,91%;19,87%;0,00;5.210.850.000,00;1,64;7,74%
UNIP6;47,50;10,97;2,03;1,225;5,82%;0,758;2,66;10,98;-5,00;11,97;7,63;11,16%;11,23%;2,52;10,29%;18,49%;9.927.350,00;2.676.570.000,00;0,94;10,52%
GRNL4;470,00;11,09;1,07;7,231;0,00%;0,975;8,04;-64,72;15,01;-63,22;-63,22;-11,17%;65,19%;4,35;-1,65%;9,69%;0,00;93.104.000,00;0,05;21,48%
ELPL3;49,32;11,11;1,91;0,504;0,00%;0,342;-16,47;3,11;-0,59;5,26;4,02;16,23%;4,54%;0,92;12,34%;17,19%;0,00;5.101.420.000,00;1,44;6,67%
ELUM3;36,00;11,12;1,50;0,940;0,00%;0,886;2,31;14,76;2,51;10,02;10,02;6,37%;8,46%;2,02;9,40%;13,47%;0,00;443.231.000,00;0,08;8,40%
EZTC3;13,47;11,14;0,62;2,391;2,16%;0,489;1,26;21,21;2,18;22,09;17,62;11,27%;21,94%;10,27;2,70%;5,59%;26.312.800,00;4.777.730.000,00;0,20;7,41%
RIPI3;48,01;11,23;-28,94;-7,449;0,00%;7,092;-59,55;-8,79;-16,76;-9,31;-9,31;84,70%;-66,31%;0,87;-99,10%;-257,61%;0,00;-49.103.000,00;-2,44;5,82%
CZLT33;29,23;11,24;1,39;0,526;0,00%;0,145;1,87;3,10;-0,29;10,26;4,03;16,97%;9,14%;1,58;5,31%;12,36%;0,00;5.691.680.000,00;3,93;7,88%
VAMO3;6,50;11,30;1,43;1,097;4,91%;0,317;5,01;2,94;-0,62;7,50;5,83;37,27%;9,71%;1,31;13,02%;12,64%;63.342.900,00;5.023.530.000,00;2,63;54,35%
RIPI4;48,50;11,35;-29,24;-7,525;0,00%;7,164;-60,16;-8,88;-16,93;-9,40;-9,40;84,70%;-66,31%;0,87;-99,10%;-257,61%;0,00;-49.103.000,00;-2,44;5,82%
CURY3;22,70;11,38;7,25;1,949;7,35%;1,663;4,34;8,58;-175,84;7,96;7,69;22,71%;17,85%;2,12;33,79%;63,72%;45.709.900,00;913.453.000,00;1,18;31,88%
BLAU3;13,76;11,43;1,21;1,567;2,65%;0,797;2,20;11,12;5,69;11,95;9,79;14,10%;13,53%;3,98;8,64%;10,57%;4.461.420,00;2.042.720.000,00;0,27;9,00%
DIRR3;30,65;11,44;2,36;1,965;8,25%;0,604;1,69;10,17;-2,56;10,18;9,06;19,32%;19,91%;3,76;7,23%;20,64%;55.571.200,00;2.252.490.000,00;0,63;17,31%
EBCO4;1,00;11,46;0,80;0,330;0,00%;0,351;50,21;8,51;-14,31;8,26;8,26;3,88%;2,90%;1,01;5,04%;7,00%;0,00;828.097.000,00;0,02;6,09%
RAPT4;10,90;11,52;1,19;0,327;4,71%;0,258;0,87;2,80;-2,67;5,28;4,25;11,67%;5,34%;1,99;12,94%;10,30%;32.891.500,00;3.025.410.000,00;1,98;23,54%
CEAB3;10,46;11,55;1,03;0,453;0,00%;0,374;3,06;4,39;-2,06;5,08;2,55;10,31%;3,92%;1,37;11,35%;8,88%;24.488.000,00;3.142.330.000,00;0,42;13,92%
AGRO3;25,58;11,58;1,21;2,481;12,56%;0,729;4,59;13,73;-8,06;18,18;12,81;18,07%;21,42%;2,09;5,91%;10,41%;6.213.930,00;2.179.680.000,00;0,48;8,99%
